frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
96,3206.9,15,13,884,,,,,,,12,946,601,,,,,,,15,1010,680,,,,,,,15,765,868,,,,,,
97,3242.6,15,13,884,,,,,,,12,945,599,,,,,,,15,1009,678,,,,,,,14,765,868,,,,,,
98,3274.7,15,13,884,,,,,,,13,945,597,,,,,,,15,1009,676,,,,,,,14,765,868,,,,,,
99,3306.8,15,13,884,,,,,,,12,944,595,,,,,,,15,1008,672,,,,,,,14,765,868,,,,,,
100,3342.7,15,13,883,,,,,,,13,943,593,,,,,,,15,1008,670,,,,,,,14,765,868,,,,,,
101,3376.9,15,13,884,,,,,,,12,943,592,,,,,,,15,1008,668,,,,,,,14,765,868,,,,,,
102,3407.5,15,13,884,,,,,,,12,943,590,,,,,,,15,1007,666,,,,,,,15,765,868,,,,,,
103,3442.8,15,13,883,,,,,,,12,942,589,,,,,,,15,1007,664,,,,,,,14,765,868,,,,,,
104,3475.2,15,13,883,,,,,,,12,942,588,,,,,,,15,1006,664,,,,,,,15,765,868,,,,,,
105,3507.2,15,13,883,,,,,,,13,942,587,,,,,,,15,1006,664,,,,,,,15,766,868,,,,,,
106,3543.0,15,13,884,,,,,,,12,942,587,,,,,,,15,1007,662,,,,,,,15,766,868,,,,,,
107,3581.1,15,13,884,,,,,,,13,942,586,,,,,,,15,1006,662,,,,,,,14,765,868,,,,,,
108,3607.3,15,13,883,,,,,,,12,941,585,,,,,,,15,1005,662,,,,,,,14,765,868,,,,,,
109,3643.0,15,13,883,,,,,,,12,941,585,,,,,,,15,1006,660,,,,,,,15,765,868,,,,,,
110,3675.0,15,13,884,,,,,,,12,941,585,,,,,,,15,1006,661,,,,,,,14,765,868,,,,,,
111,3707.5,15,13,884,,,,,,,12,941,584,,,,,,,15,1005,660,,,,,,,15,765,868,,,,,,
112,3742.7,15,13,884,,,,,,,12,940,584,,,,,,,15,1005,661,,,,,,,14,765,868,,,,,,
113,3775.8,15,13,884,,,,,,,12,941,584,,,,,,,15,1005,660,,,,,,,14,765,868,,,,,,
