frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
55,1847.7,15,64,881,,,,,,,12,814,317,,,,,,,14,913,339,,,,,,,8,1043,59,,,,,,,14,812,866,,,,,,
56,1878.6,15,64,880,,,,,,,12,804,324,,,,,,,14,913,339,,,,,,,10,1052,48,,,,,,,14,812,866,,,,,,
57,1910.2,15,65,881,,,,,,,12,793,331,,,,,,,14,913,339,,,,,,,8,1053,40,,,,,,,14,812,866,,,,,,
58,1942.5,15,65,881,,,,,,,12,781,339,,,,,,,14,913,340,,,,,,,5,1026,50,,,,,,,14,812,866,,,,,,
59,1982.0,15,64,880,,,,,,,12,768,347,,,,,,,14,913,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
60,2010.2,15,64,880,,,,,,,12,754,356,,,,,,,13,913,340,,,,,,,9,1071,20,,,,,,,14,812,866,,,,,,
61,2042.4,15,64,880,,,,,,,12,740,365,,,,,,,14,913,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
62,2078.4,15,65,880,,,,,,,12,725,374,,,,,,,14,913,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
63,2110.2,15,64,881,,,,,,,12,709,384,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
64,2142.7,15,64,880,,,,,,,12,693,394,,,,,,,14,913,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
65,2178.3,15,65,881,,,,,,,12,676,405,,,,,,,14,913,339,,,,,,,6,1044,34,,,,,,,14,812,866,,,,,,
66,2210.2,15,65,880,,,,,,,12,659,416,,,,,,,13,913,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
67,2242.4,15,65,881,,,,,,,12,640,428,,,,,,,14,913,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
68,2278.3,15,64,881,,,,,,,12,622,439,,,,,,,14,912,339,,,,,,,9,1060,30,,,,,,,14,812,866,,,,,,
69,2311.2,15,65,880,,,,,,,12,603,451,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
70,2342.8,15,65,880,,,,,,,12,583,464,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
71,2379.2,15,65,880,,,,,,,12,563,476,,,,,,,14,912,338,,,,,,,9,1067,29,,,,,,,14,811,866,,,,,,
72,2410.4,15,64,880,,,,,,,12,542,490,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
73,2444.5,15,65,880,,,,,,,12,520,503,,,,,,,14,912,338,,,,,,,5,1072,30,,,,,,,14,811,866,,,,,,
74,2478.5,15,65,880,,,,,,,12,497,518,,,,,,,13,913,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
75,2511.7,15,65,880,,,,,,,12,475,533,,,,,,,14,912,339,,,,,,,6,1083,32,,,,,,,14,812,866,,,,,,
76,2542.8,15,64,880,,,,,,,12,450,548,,,,,,,14,912,338,,,,,,,12,1078,34,,,,,,,14,812,866,,,,,,
77,2579.6,15,64,880,,,,,,,12,426,564,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
78,2611.1,15,65,880,,,,,,,12,400,580,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
79,2642.6,15,65,880,,,,,,,12,374,596,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
80,2678.2,15,64,880,,,,,,,12,347,614,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
81,2710.3,15,64,880,,,,,,,12,319,631,,,,,,,14,912,338,,,,,,,8,1091,37,,,,,,,14,811,866,,,,,,
82,2742.8,15,65,880,,,,,,,12,290,649,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
83,2778.3,15,65,880,,,,,,,11,261,668,,,,,,,14,912,338,,,,,,,6,1093,34,,,,,,,14,811,866,,,,,,
84,2810.3,15,64,881,,,,,,,12,231,687,,,,,,,13,912,339,,,,,,,7,1092,32,,,,,,,14,811,866,,,,,,
85,2846.3,15,64,881,,,,,,,11,201,706,,,,,,,13,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
86,2878.3,15,64,881,,,,,,,10,169,725,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
87,2910.2,15,64,881,,,,,,,10,135,747,,,,,,,13,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
88,2950.0,15,64,881,,,,,,,10,101,769,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
89,2978.1,15,64,881,,,,,,,12,72,782,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,811,866,,,,,,
90,3010.4,15,64,880,,,,,,,11,54,784,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
91,3042.2,15,64,881,,,,,,,11,36,796,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
92,3078.3,15,64,881,,,,,,,11,25,798,,,,,,,13,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
93,3110.0,15,64,880,,,,,,,12,22,800,,,,,,,13,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
94,3142.5,15,64,880,,,,,,,12,22,800,,,,,,,13,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
95,3178.2,15,64,880,,,,,,,12,21,801,,,,,,,13,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
