frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
100,3343.0,15,65,881,,,,,,,14,1017,567,,,,,,,15,1050,643,,,,,,,15,813,865,,,,,,
101,3375.7,15,65,881,,,,,,,14,1016,564,,,,,,,15,1049,640,,,,,,,14,813,866,,,,,,
102,3407.2,15,65,881,,,,,,,14,1015,561,,,,,,,15,1048,637,,,,,,,14,813,866,,,,,,
103,3443.3,15,65,881,,,,,,,14,1014,558,,,,,,,15,1047,635,,,,,,,14,813,866,,,,,,
104,3475.9,15,65,881,,,,,,,14,1013,555,,,,,,,15,1047,631,,,,,,,15,814,866,,,,,,
105,3507.1,15,65,881,,,,,,,14,1012,552,,,,,,,15,1045,628,,,,,,,15,813,866,,,,,,
106,3544.4,15,65,881,,,,,,,14,1010,548,,,,,,,15,1044,624,,,,,,,14,813,866,,,,,,
107,3575.1,15,65,881,,,,,,,14,1009,545,,,,,,,15,1043,620,,,,,,,14,813,866,,,,,,
108,3607.2,15,65,881,,,,,,,14,1008,542,,,,,,,15,1043,617,,,,,,,14,813,866,,,,,,
109,3643.1,15,65,881,,,,,,,14,1007,539,,,,,,,15,1042,615,,,,,,,14,813,866,,,,,,
110,3675.2,15,65,881,,,,,,,14,1006,537,,,,,,,15,1041,611,,,,,,,15,813,866,,,,,,
111,3707.3,15,65,881,,,,,,,14,1004,534,,,,,,,15,1039,609,,,,,,,14,813,866,,,,,,
112,3743.2,15,65,881,,,,,,,14,1004,531,,,,,,,15,1038,605,,,,,,,14,813,866,,,,,,
113,3775.7,15,65,881,,,,,,,14,1002,528,,,,,,,15,1038,602,,,,,,,14,813,866,,,,,,
114,3807.2,15,65,881,,,,,,,14,1001,524,,,,,,,15,1037,598,,,,,,,14,813,866,,,,,,
115,3843.3,15,65,881,,,,,,,14,1000,522,,,,,,,15,1036,595,,,,,,,14,813,866,,,,,,
116,3875.5,15,65,881,,,,,,,14,998,518,,,,,,,15,1035,592,,,,,,,14,813,866,,,,,,
117,3907.9,15,65,881,,,,,,,14,997,515,,,,,,,15,1033,588,,,,,,,15,813,866,,,,,,
118,3943.4,15,65,881,,,,,,,13,996,512,,,,,,,14,1032,584,,,,,,,14,813,866,,,,,,
119,3975.1,15,65,881,,,,,,,14,994,508,,,,,,,14,1031,580,,,,,,,14,813,866,,,,,,
120,4008.0,15,65,881,,,,,,,14,993,505,,,,,,,15,1030,577,,,,,,,14,813,866,,,,,,
121,4042.9,15,65,881,,,,,,,14,992,502,,,,,,,15,1029,575,,,,,,,14,813,866,,,,,,
122,4075.0,15,65,881,,,,,,,14,990,499,,,,,,,15,1027,571,,,,,,,14,813,866,,,,,,
123,4108.8,15,65,880,,,,,,,14,989,496,,,,,,,14,1026,567,,,,,,,14,813,866,,,,,,
124,4143.7,15,65,881,,,,,,,14,988,493,,,,,,,14,1025,564,,,,,,,14,813,865,,,,,,
125,4175.3,15,65,881,,,,,,,14,986,490,,,,,,,15,1024,562,,,,,,,14,813,866,,,,,,
126,4207.6,15,65,881,,,,,,,14,985,487,,,,,,,15,1023,558,,,,,,,14,813,866,,,,,,
127,4243.1,15,65,881,,,,,,,14,984,485,,,,,,,15,1022,556,,,,,,,14,813,866,,,,,,
128,4275.7,15,65,880,,,,,,,14,983,483,,,,,,,15,1021,554,,,,,,,14,813,866,,,,,,
129,4307.2,15,65,881,,,,,,,14,982,480,,,,,,,15,1021,551,,,,,,,14,813,866,,,,,,
130,4343.2,15,65,881,,,,,,,14,981,479,,,,,,,14,1020,549,,,,,,,14,813,866,,,,,,
131,4375.3,15,65,881,,,,,,,14,980,477,,,,,,,14,1019,547,,,,,,,14,813,866,,,,,,
132,4407.8,15,65,881,,,,,,,14,980,475,,,,,,,14,1018,545,,,,,,,14,813,866,,,,,,
133,4443.1,15,65,881,,,,,,,14,979,473,,,,,,,15,1018,543,,,,,,,14,813,866,,,,,,
134,4475.7,15,65,881,,,,,,,14,977,470,,,,,,,15,1017,540,,,,,,,14,813,866,,,,,,
135,4507.8,15,65,880,,,,,,,14,976,468,,,,,,,14,1015,538,,,,,,,15,813,866,,,,,,
136,4543.2,15,65,880,,,,,,,14,975,465,,,,,,,14,1015,536,,,,,,,14,813,866,,,,,,
137,4577.4,15,65,880,,,,,,,14,974,463,,,,,,,14,1014,533,,,,,,,14,813,866,,,,,,
138,4608.2,15,65,880,,,,,,,14,973,461,,,,,,,14,1013,530,,,,,,,14,813,866,,,,,,
139,4643.3,15,65,880,,,,,,,14,972,459,,,,,,,14,1012,528,,,,,,,14,813,866,,,,,,
