frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
77,2573.9,15,63,881,,,,,,,,,,,,,,,,13,910,338,,,,,,,14,13,830,,,,,,,14,811,865,,,,,,
78,2607.0,15,64,881,,,,,,,,,,,,,,,,13,911,337,,,,,,,16,15,831,,,,,,,13,811,865,,,,,,
79,2642.1,15,63,881,,,,,,,,,,,,,,,,13,911,337,,,,,,,16,15,832,,,,,,,14,811,865,,,,,,
80,2673.8,15,63,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,14,14,834,,,,,,,13,811,865,,,,,,
81,2706.2,15,63,881,,,,,,,,,,,,,,,,14,910,337,,,,,,,15,15,834,,,,,,,13,811,865,,,,,,
82,2741.9,15,64,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,15,14,834,,,,,,,13,811,865,,,,,,
83,2773.8,15,63,881,,,,,,,,,,,,,,,,13,911,337,,,,,,,12,12,834,,,,,,,13,811,865,,,,,,
84,2806.0,14,64,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,14,13,834,,,,,,,13,811,865,,,,,,
85,2842.0,15,63,881,,,,,,,,,,,,,,,,14,910,337,,,,,,,12,12,834,,,,,,,13,811,864,,,,,,
86,2874.1,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,15,14,832,,,,,,,13,811,865,,,,,,
87,2906.2,15,63,881,,,,,,,,,,,,,,,,13,911,337,,,,,,,13,13,834,,,,,,,14,811,865,,,,,,
88,2942.0,15,64,880,,,,,,,,,,,,,,,,13,911,337,,,,,,,15,14,831,,,,,,,13,811,865,,,,,,
89,2974.1,15,63,881,,,,,,,,,,,,,,,,14,910,336,,,,,,,13,11,832,,,,,,,13,810,865,,,,,,
90,3006.7,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,15,14,833,,,,,,,13,811,865,,,,,,
91,3042.2,15,64,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,14,12,832,,,,,,,13,811,865,,,,,,
92,3076.7,15,64,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,15,15,832,,,,,,,13,811,865,,,,,,
93,3106.1,15,63,881,,,,,,,,,,,,,,,,14,910,337,,,,,,,15,14,833,,,,,,,13,810,865,,,,,,
94,3145.1,15,63,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,,,,,,,,,,14,811,865,,,,,,
95,3179.8,15,64,880,,,,,,,,,,,,,,,,13,911,337,,,,,,,15,15,834,,,,,,,13,811,864,,,,,,
96,3206.3,15,63,881,,,,,,,,,,,,,,,,13,911,337,,,,,,,13,12,831,,,,,,,14,811,865,,,,,,
97,3242.4,15,63,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,15,14,834,,,,,,,14,810,865,,,,,,
98,3273.9,15,63,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,5,3,834,,,,,,,14,811,865,,,,,,
99,3306.0,15,64,880,,,,,,,,,,,,,,,,13,911,337,,,,,,,13,12,832,,,,,,,13,811,865,,,,,,
100,3342.8,15,64,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,15,15,831,,,,,,,14,811,866,,,,,,
101,3374.0,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,13,13,833,,,,,,,13,811,866,,,,,,
102,3406.9,15,63,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,13,12,830,,,,,,,14,810,865,,,,,,
103,3441.8,15,64,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,15,14,831,,,,,,,13,811,865,,,,,,
104,3474.0,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,15,15,831,,,,,,,14,812,865,,,,,,
105,3506.4,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,7,5,831,,,,,,,14,811,865,,,,,,
106,3542.0,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,15,14,832,,,,,,,14,811,865,,,,,,
107,3573.9,15,64,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,15,14,831,,,,,,,13,811,865,,,,,,
108,3606.1,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,14,13,830,,,,,,,13,811,865,,,,,,
109,3641.8,15,64,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,14,14,834,,,,,,,13,810,865,,,,,,
110,3673.8,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,15,15,834,,,,,,,13,811,865,,,,,,
111,3706.2,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,14,14,834,,,,,,,13,811,865,,,,,,
112,3742.5,15,64,881,,,,,,,,,,,,,,,,13,911,337,,,,,,,5,19,835,,,,,,,14,811,865,,,,,,
113,3773.8,15,63,880,,,,,,,,,,,,,,,,13,911,337,,,,,,,5,1,835,,,,,,,13,811,865,,,,,,
114,3806.4,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,6,5,835,,,,,,,14,811,865,,,,,,
